outcome,model,LOOCV_AUC,LOOCV_Brier
K3,Physical only,0.3777777777777778,0.27696600022958906
K3,Age only,0.7555555555555556,0.16290617168927615
K3,Topology only,0.2,0.2965529827924328
K3,Age + topology,0.7111111111111112,0.1876994441372907
K3,Physical + age,0.688888888888889,0.1792222098423843
K3,Physical + age + topology,0.6444444444444446,0.21719251410307772
K3,Age + topology + mandatory route,0.7111111111111112,0.19275266083973935
K4,Physical only,0.39999999999999997,0.27041485055861314
K4,Age only,0.7111111111111111,0.2160606770197482
K4,Topology only,0.0,0.3005548351510868
K4,Age + topology,0.7555555555555556,0.20613505691058576
K4,Physical + age,0.6000000000000001,0.2385012035596166
K4,Physical + age + topology,0.7333333333333334,0.20409333696346582
K4,Age + topology + mandatory route,0.7333333333333334,0.2087573687044502
